axis_id	axis_name	biological_theme	gene_members	celltype_context	expected_direction_in_ad	expected_direction_in_pd	primary_evidence_source	interpretability_note	overclaiming_risk
inflammatory_microglial_axis	Inflammatory microglial axis	microglial inflammatory activation	TREM2;TYROBP;AIF1;P2RY12;GPNMB;CX3CR1;IL1B;TNF;NFKB1	microglia;immune	enriched_in_high_pathology_or_dementia	expected_enriched_in_pd	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Captures homeostatic-to-inflammatory microglial remodeling from target-panel genes.	Do not claim causal microglial mechanism without perturbational evidence.
astrocyte_stress_axis	Astrocyte stress axis	reactive astrocyte stress	GFAP;APOE;NFKB1;TNF;IL1B	astrocytes;glia	enriched_in_high_pathology_or_dementia	expected_enriched_in_pd	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Summarizes astrocyte reactivity and inflammatory coupling.	Do not call this a validated astrocyte biomarker.
myelin_oligodendrocyte_axis	Myelin oligodendrocyte axis	myelin and oligodendrocyte integrity	MBP;MOBP;PLP1	oligodendrocytes;myelin	expected_depleted_or_remodeled	expected_depleted_or_remodeled	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Tracks myelin-related donor-level feature structure.	Direction can reflect cell composition or expression, not necessarily demyelination.
neuronal_vulnerability_axis	Neuronal vulnerability axis	neuronal subtype and axonal vulnerability	LAMP5;SST;PVALB;SLC17A7;NEFL;NEFM	neurons;excitatory_neurons;interneurons	expected_depleted_or_remodeled	expected_depleted_or_remodeled	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Summarizes neuronal subtype and axonal integrity features.	Do not infer neuronal death without orthogonal validation.
synuclein_mitochondrial_axis	Synuclein mitochondrial axis	alpha-synuclein and mitochondrial quality control	SNCA;LRRK2;PINK1;PRKN;MAPT;APOE	neurons;microglia;glia	expected_variable	expected_enriched_or_remodeled	gse243639_phase20_primary_pd_axis	Captures PD-relevant synuclein, kinase, mitophagy, and overlap biology.	Do not describe as PD diagnostic or causal pathway proof.
amyloid_tau_axis	Amyloid tau axis	amyloid and tau-associated biology	APP;PSEN1;PSEN2;MAPT;APOE	neurons;astrocytes;microglia	expected_enriched_or_remodeled	expected_variable	sea_ad_primary_ad_axis	Summarizes core amyloid/tau and APOE-associated AD biology.	Do not claim amyloid/tau causality from association alone.
immune_antigen_presentation_axis	Immune antigen presentation axis	antigen presentation and immune activation	B2M;HLA-DRA;AIF1;TYROBP;NFKB1	microglia;immune;vascular	enriched_in_high_pathology_or_dementia	expected_enriched_in_pd	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Separates antigen-presentation-like signal from broader inflammation.	Do not imply adaptive immune causality without validation.
vascular_barrier_axis	Vascular barrier axis	vascular barrier and neuroimmune interface	B2M;CX3CR1;TNF;IL1B;NFKB1	endothelial;pericyte;immune;microglia	expected_variable	expected_variable	limited_target_panel_support	Uses available inflammatory/immune genes as a low-resolution vascular-interface proxy.	High risk of overinterpretation due limited vascular-specific panel coverage.
proteostasis_autophagy_axis	Proteostasis autophagy axis	proteostasis, lysosomal, and autophagy stress	GPNMB;PINK1;PRKN;LRRK2;SNCA;MAPT;APP	microglia;neurons;glia	expected_enriched_or_remodeled	expected_enriched_or_remodeled	preliminary_sea_ad_phase3_4_and_gse243639_phase20	Captures lysosomal/proteostasis and mitophagy-related features.	Do not call this validated autophagy mechanism without functional data.
global_neurodegeneration_axis	Global neurodegeneration axis	integrated glial neuronal myelin inflammatory burden	SNCA;MAPT;APP;APOE;TREM2;TYROBP;GFAP;AIF1;GPNMB;MBP;MOBP;PLP1;NEFL;NEFM;HLA-DRA;PINK1;PRKN	multicellular	expected_associated_with_disease_burden	expected_associated_with_disease_burden	integrative_axis_across_sea_ad_and_gse243639	Broad integrated score for donor/sample-level neurodegeneration fate state.	Do not treat as clinical risk score without prospective validation.
