module_id	manuscript_section	scientific_layer	expected_data_source	expected_pipeline_script	expected_result_table	expected_result_figure	status	notes
single_cell_transcriptomics	Planned Data Modalities	single-cell transcriptomics	SEA-AD, Mathys 2019, ROSMAP, and PD single-cell/single-nucleus placeholders	neurofate/singlecell.py	results/tables/single_cell_transcriptomics_summary.tsv	results/figures/single_cell_transcriptomics_overview.png	placeholder	Manuscript-driven single-cell layer; no Scanpy or matrix processing has been run.
alzheimers_disease	Planned Data Modalities	Alzheimer disease	SEA-AD, Mathys 2019, and ROSMAP-associated AD placeholders	neurofate/singlecell.py	results/tables/alzheimers_disease_dataset_summary.tsv	results/figures/alzheimers_disease_overview.png	placeholder	AD disease context for future public dataset integration.
parkinsons_disease	Planned Data Modalities	Parkinson disease	Parkinson single-cell/single-nucleus placeholder	neurofate/singlecell.py	results/tables/parkinsons_disease_dataset_summary.tsv	results/figures/parkinsons_disease_overview.png	placeholder	PD disease context for future public dataset integration.
gut_brain_axis	Planned Data Modalities	gut-brain axis	manual microbiome/metabolite source registration	neurofate/microbiome.py	results/tables/gut_brain_axis_summary.tsv	results/figures/gut_brain_axis_overview.png	placeholder	Gut-brain axis layer from manuscript; no external curation has been executed.
microbiome_metabolite_layer	Planned Data Modalities	microbiome/metabolite layer	gut-brain microbiome/metabolite database placeholder	neurofate/microbiome.py	results/tables/microbiome_metabolite_features.tsv	results/figures/microbiome_metabolite_features.png	placeholder	Microbial and metabolite signatures are registered as future lightweight tables.
protein_interaction_network_biology	Planned Data Modalities	protein interaction/network biology	STRING/PPI database placeholder	neurofate/graph.py	results/tables/protein_interaction_features.tsv	results/figures/protein_interaction_network.png	placeholder	Network biology layer; no graph construction has been run.
evolutionary_conservation	Planned Data Modalities	evolutionary conservation	evolutionary ortholog/conservation placeholder	neurofate/evolution.py	results/tables/evolutionary_conservation_features.tsv	results/figures/evolutionary_conservation.png	placeholder	Conservation layer from manuscript; external sources remain manual.
positive_selection	Planned Data Modalities	positive selection	selection or dN/dS summary placeholder	neurofate/evolution.py	results/tables/positive_selection_features.tsv	results/figures/positive_selection.png	placeholder	Positive-selection layer is registered only; no evolutionary computation has been run.
multimodal_ai_fate_prediction	Planned Methods	multimodal AI/fate prediction	integrated multimodal feature registry	neurofate/models.py	results/tables/multimodal_neurofate_score.tsv	results/figures/multimodal_neurofate_score.png	placeholder	Future NeuroFate score; model training and inference remain disabled.
interpretability_reporting	Planned Methods	interpretability/reporting	feature registry and future model summaries	neurofate/reports.py	results/tables/interpretability_report.tsv	results/figures/interpretability_summary.png	placeholder	Reporting layer for future interpretable outputs; no final results are invented.
